Tip,Paylaþým,,,,
Negatif,Doða aðzýmýza sýçsa hakký var,,,,
Pozitif,"Anne bir sanatçýdýr, en güzel eseri de yavrusudur. ",,,,
Negatif,ibrahimin oðlunu koruyan Tanrý’ya da ben sokayým,,,,
Negatif,Köpeðim suratýna sýçsýn senin namussuz karý,,,,
Negatif,"Ben söðüþledim, birazda sen söðüþle",,,,
Negatif,"Þerefsizlik, sözde sanatçýlarýn vazgeçemediði bir deðerdir",,,,
Negatif,Kendisi de bilmiyordur çünkü beyinsiz,,,,
Negatif,"aþýrý býyýklý geleneksel keko adam, bi ayrýlýp bi barýþan boþ bakýþlý salak çift veya direnaj ertuðrul 18. sezon dýþýnda bi þey izlemek isteyenler için bi çözüm düþündünüz mü peki",,,,
Pozitif,"En uzun yolculuklar bile, tek bir adýmla baþlar. Geleceðin mimarlarý gençlerimiz için atýlan ilk adýmlarý var gücümüzle desteklemeye devam ediyoruz.",,,,
Pozitif,Vallahi bu aralar istediðimiz tek þey huzur,,,,
Pozitif,"CHP Genel Baþkaný Kemal Kýlýçdaroðlu'nun eþi Selvi Kýlýçdaroðlu, Hazine ve Maliye Bakaný Berat Albayrak'ýn eþi Esra Albayrak'ý telefonla arayarak, yeni doðan çocuðu ile ilgili sosyal medyadan yapýlan hakaret içerikli paylaþýmlar nedeniyle duyduðu üzüntüyü paylaþtý.",,,,
Pozitif,Beyin göçünü engellemeye çalýþtýðýmýz gençlere sosyal medyayý yasaklamak gerçekten dahiyane bir fikir,,,,
Pozitif,Doða ana bu kullanýlmayan depoyu devralýyor,,,,
Pozitif,Tarlasýný çekerken beni niye çekmedin diye söylenenen dayýnýn aslýnda kendinin çekildiðinden habersiz oluþu,,,,
Negatif,babaannesini seven yoktur heralde anneanneler ne kadar minnoþsa babaanneler o kadar çekilmez oluyo inþallah babaanne olmam ilerde aq kimse sevmez beni,,,,
Pozitif,"Merhaba, konuyla ilgili yardýmcý olmak isteriz. Ýrtibat numaranýzý direkt mesaj olarak bize iletir misiniz?",,,,
Pozitif,"Nietzsche Böyle Buyurdu Zerdüþt’te; ""Ama önce sen kendini inþa etmelisin, dimdik bir beden ve dimdik bir ruhla."" diyor ve ekliyor; ""Derisini deðiþtirmeyen yýlan ölmeye mahkumdur. Bu durum fikirlerini deðiþtirmeyen zihinler için de geçerlidir.” Sabit fikir, en büyük hapishanedir.",,,,
Pozitif,Hiçbir þey harekete geçen cehalet kadar korkunç olamaz,,,,
Pozitif,Yine birileri bazý deðiþimlerin tadýný çýkarmakla meþgul,,,,
Pozitif,"""stanley parable diye bir oyun var abi sevebilirsin"" cümlesini unutamadým bir de. eskiden ""ha evet bir de skyrim diyorlar"" diye kýl cevaplar veriyordum bunlara ama artýk <3 atýp geçiyom. yaþlýlýk geldi bana da.",,,,
Pozitif,"""Seni kitap okuyan insanlarla tanýþtýracaðým. Hayat, ancak böyle insanlarla bir araya geliyorsan yaþanmaya deðer olur.""",,,,
